race_number,horse_name,jockey,trainer,weight,age,post_position,race_type,purse,surface,distance,distance_unit,dollar_odds,sex,num_past_starts,num_past_wins,num_past_seconds,num_past_thirds,last_race_date,last_race_finish,track_condition,breed,course,last_race_number
2,American Pope,D Sheehy,P McEntee,119,2,11,Maiden Special Weight,90000,Dirt,4.5,F,30,C,0,0,0,0,,,FT,TB,M,
2,Castle Pines,A Fresu,D F O'Neill,119,2,12,Maiden Special Weight,90000,Dirt,4.5,F,6,C,0,0,0,0,,,FT,TB,M,
3,Crescent Sky,C J Lanerie,A G Cohn,118,3,1,Maiden Special Weight,110000,Turf,5.5,F,20,F,1,0,0,0,2026-03-15,4,FM,TB,M,7
3,Gellhorn,F Prat,D Gargan,125,4,2,Maiden Special Weight,110000,Turf,5.5,F,6,F,4,0,1,1,2026-02-22,4,FM,TB,M,10
3,Lucy McGee,L Saez,V H Oliver,125,4,3,Maiden Special Weight,110000,Turf,5.5,F,4,F,8,0,2,2,2025-09-10,6,FM,TB,M,5
3,Marcheline,J R Velazquez,V H Oliver,118,3,4,Maiden Special Weight,110000,Turf,5.5,F,20,F,0,0,0,0,,,FM,TB,M,
3,Aurora Sky,T Gaffalione,J Sharp,125,4,5,Maiden Special Weight,110000,Turf,5.5,F,5,F,4,0,1,0,2026-02-05,4,FM,TB,M,4
3,Red Beach,J Castellano,G D Sacco,118,3,6,Maiden Special Weight,110000,Turf,5.5,F,20,F,0,0,0,0,,,FM,TB,M,
3,Conquering Marin,"I Ortiz, Jr.",B P Walsh,118,3,7,Maiden Special Weight,110000,Turf,5.5,F,3.5,F,2,0,0,1,2026-02-07,6,FM,TB,M,1
3,Headspin,J Alvarado,W I Mott,118,3,8,Maiden Special Weight,110000,Turf,5.5,F,4.5,F,1,0,0,0,2026-03-14,4,FM,TB,M,5
3,Llamp,B Curtis,E Kenneally,118,3,9,Maiden Special Weight,110000,Turf,5.5,F,10,F,3,0,0,1,2025-10-26,5,FM,TB,M,4
3,Avila,J N Hernandez,M Douaihy,118,3,10,Maiden Special Weight,110000,Turf,5.5,F,30,F,0,0,0,0,,,FM,TB,M,
3,Victor Valley,A Calleja,I Acevedo,118,3,11,Maiden Special Weight,110000,Turf,5.5,F,20,F,6,0,1,0,2026-02-21,4,FM,TB,M,7
3,One Happy Island,A Achard,M Kordenbrock,125,4,12,Maiden Special Weight,110000,Turf,5.5,F,15,F,14,0,1,4,2026-02-25,3,FM,TB,M,5
3,Poverty With Aview,J J Radosevich,J Lejzerowicz,1187,4,13,Maiden Special Weight,110000,Turf,5.5,F,12,F,16,0,6,3,2026-03-14,2,FM,TB,M,2
3,Whiskey Serenade,M Garcia,J Butcher,125,4,14,Maiden Special Weight,110000,Turf,5.5,F,30,F,1,0,0,0,2025-04-24,8,FM,TB,M,6
3,Loriebeth,M Gutierrez,A B Taylor,125,4,15,Maiden Special Weight,110000,Turf,5.5,F,30,F,5,0,0,1,2026-03-11,6,FM,TB,M,10
3,Swirling Seas,L Machado,B Colebrook,118,3,16,Maiden Special Weight,110000,Turf,5.5,F,6,F,0,0,0,0,,,FM,TB,M,
4,White Whale,A Concepcion,M A Tomlinson,124,4,1,Claiming,58000,Dirt,7.0,F,6,C,14,1,1,4,2026-02-22,5,FT,TB,M,6
4,Mo Hair Sam,F De La Cruz,J A Hancock,124,4,2,Claiming,58000,Dirt,7.0,F,20,G,16,1,1,4,2026-03-28,11,FT,TB,M,4
4,Shangrala Road,"I Ortiz, Jr.",B H Cox,124,4,3,Claiming,58000,Dirt,7.0,F,1.2,C,5,1,1,0,2026-03-20,6,FT,TB,M,8
4,Mo Work,L Saez,G R Arnold II,124,4,4,Claiming,58000,Dirt,7.0,F,4,G,5,1,1,0,2026-02-19,7,FT,TB,M,8
4,La Houligan,J L Ortiz,G Compton,124,4,5,Claiming,58000,Dirt,7.0,F,10,C,13,1,3,3,2026-02-16,6,FT,TB,M,8
4,Bite and Strike,J Alvarado,W I Mott,124,4,6,Claiming,58000,Dirt,7.0,F,5,G,10,1,0,0,2026-04-03,11,FT,TB,M,6
4,Attersee,T Gaffalione,N W Casse,124,4,7,Claiming,58000,Dirt,7.0,F,8,C,6,1,1,0,2026-03-08,2,FT,TB,M,2
4,Fracture,G Saez,D Leitch,124,5,8,Claiming,58000,Dirt,7.0,F,15,G,6,1,3,0,2026-03-27,2,FT,TB,M,2
5,Maycocks Bay,"B J Hernandez, Jr.",M Stidham,118,5,1,Allowance,140000,Turf,8.5,F,4.5,G,10,3,2,1,2026-02-21,2,FM,TB,M,8
5,In a Jam,E Morales,J G Cook,118,5,2,Allowance,140000,Turf,8.5,F,20,G,29,3,4,5,2026-03-20,4,FM,TB,M,5
5,Legalize,J L Ortiz,C DeVaux,118,5,3,Allowance,140000,Turf,8.5,F,6,H,11,3,1,3,2026-03-20,2,FM,TB,M,8
5,Miranda Rights,V Cheminaud,M Nihei,118,6,4,Allowance,140000,Turf,8.5,F,15,G,23,3,5,6,2026-02-27,8,FM,TB,M,5
5,Just a Touch,"I Ortiz, Jr.",B H Cox,118,5,5,Allowance,140000,Turf,8.5,F,1.6,H,11,3,5,1,2026-03-07,4,FM,TB,M,10
5,Stars and Strides,J Alvarado,W I Mott,118,4,6,Allowance,140000,Turf,8.5,F,12,C,6,3,0,0,2026-02-28,8,FM,TB,M,4
5,Big to Do,W Antongeorgi III,T S Wismer,118,5,7,Allowance,140000,Turf,8.5,F,20,H,19,4,0,3,2026-03-20,1,FM,TB,M,5
5,Green Light,L Machado,R Brisset,118,5,8,Allowance,140000,Turf,8.5,F,8,H,12,3,3,2,2026-02-18,2,FM,TB,M,3
5,Judge Davis,F Prat,M J Maker,118,7,9,Allowance,140000,Turf,8.5,F,6,G,27,4,4,4,2026-02-27,4,FM,TB,M,5
5,California Burrito,L Saez,"T Drury, Jr.",118,4,10,Allowance,140000,Turf,8.5,F,12,C,11,3,1,1,2026-02-27,3,FM,TB,M,5
6,Union Mist,T Gaffalione,B P Walsh,118,5,1,Allowance,120000,Dirt,8.5,F,6,M,19,1,3,5,2026-02-07,3,FT,TB,M,7
6,Oraia,"B J Hernandez, Jr.",W D Cowans,118,4,2,Allowance,120000,Dirt,8.5,F,10,F,9,1,2,0,2026-03-27,6,FT,TB,M,9
6,Ivory and Ebony,J Alvarado,D L Romans,118,4,3,Allowance,120000,Dirt,8.5,F,3.5,F,9,1,5,1,2026-02-21,9,FT,TB,M,6
6,Metfardeh,F Prat,T A Pletcher,118,4,4,Allowance,120000,Dirt,8.5,F,4.5,F,5,1,1,2,2026-03-20,3,FT,TB,M,7
6,Quinn's Promise,C J Lanerie,D L Romans,118,4,5,Allowance,120000,Dirt,8.5,F,20,F,10,1,0,4,2026-02-27,3,FT,TB,M,6
6,Missy Bee,J D Ramos,E N Foster,118,5,6,Allowance,120000,Dirt,8.5,F,30,M,32,5,4,5,2026-03-26,1,FT,TB,M,7
6,Clairita,L Saez,P A Bauer,118,4,7,Allowance,120000,Dirt,8.5,F,0.8,F,3,1,1,1,2026-02-01,2,FT,TB,M,4
7,The Hidden Chamber,A Concepcion,K Danner,118,4,1,Allowance,130000,Turf,12.0,F,15,C,15,2,1,1,2026-03-28,1,FM,TB,M,8
7,Carcano,L Saez,V H Oliver,118,6,2,Allowance,130000,Turf,12.0,F,12,G,17,3,6,2,2026-02-20,2,FM,TB,M,8
7,Copper Missile,L Machado,M P Sims,118,5,3,Allowance,130000,Turf,12.0,F,20,G,19,4,2,4,2026-02-12,1,FM,TB,M,10
7,Royal Majesty,J Alvarado,W I Mott,118,5,4,Allowance,130000,Turf,12.0,F,10,H,13,2,2,2,2026-01-17,7,FM,TB,M,5
7,Factor Analysis,B Curtis,E Kenneally,118,5,5,Allowance,130000,Turf,12.0,F,20,H,15,2,3,1,2026-03-06,7,FM,TB,M,9
7,Coiled,F Prat,A Delacour,118,4,6,Allowance,130000,Turf,12.0,F,3.5,C,8,2,1,1,2026-02-20,3,FM,TB,M,8
7,Faber,"B J Hernandez, Jr.",M Stidham,118,4,7,Allowance,130000,Turf,12.0,F,8,G,16,2,2,4,2026-03-21,6,FM,TB,M,10
7,Chapman's Peak,"I Ortiz, Jr.",B H Cox,118,4,8,Allowance,130000,Turf,12.0,F,1.8,G,8,2,1,2,2026-02-28,3,FM,TB,M,8
7,Concord Green,J R Velazquez,C R McGaughey III,120,4,9,Allowance,130000,Turf,12.0,F,4.5,G,10,2,1,1,2026-03-07,1,FM,TB,M,12
7,Mutaawid,J J Hernandez,M J Maker,118,6,10,Allowance,130000,Turf,12.0,F,10,H,36,7,1,5,2026-02-20,10,FM,TB,M,8
8,Trusty Rusty,J J Hernandez,"R B Hess, Jr.",118,6,1,Starter Allowance,73000,Dirt,8.5,F,8,G,45,6,12,4,2026-02-27,2,FT,TB,M,3
8,Carolo Rapido,E Morales,J Blair,118,5,2,Starter Allowance,73000,Dirt,8.5,F,5,H,19,5,0,2,2026-03-06,4,FT,TB,M,6
8,Liar's Poker,A Concepcion,G Londono,118,6,3,Starter Allowance,73000,Dirt,8.5,F,10,G,18,5,1,2,2026-03-06,3,FT,TB,M,8
8,American Law,T Gaffalione,S E Shaffer,118,8,4,Starter Allowance,73000,Dirt,8.5,F,6,G,47,7,11,10,2026-03-20,4,FT,TB,M,8
8,Clooney,"I Ortiz, Jr.",G D Foley,118,6,5,Starter Allowance,73000,Dirt,8.5,F,2,G,17,5,4,1,2026-02-08,1,FT,TB,M,2
8,Goes the Clown,J R Leparoux,"R B Hess, Jr.",118,5,6,Starter Allowance,73000,Dirt,8.5,F,15,G,20,4,3,2,2026-03-21,6,FT,TB,M,6
8,Evening News,O Villarreal,H Andrade,118,5,7,Starter Allowance,73000,Dirt,8.5,F,20,H,23,3,3,4,2026-03-11,1,FT,TB,M,8
8,Awesome Ruta,J L Ortiz,J Sharp,120,5,8,Starter Allowance,73000,Dirt,8.5,F,3.5,H,21,4,4,7,2026-03-06,1,FT,TB,M,8
8,Time for Trouble,J A Torres,E N Foster,118,9,9,Starter Allowance,73000,Dirt,8.5,F,8,G,44,12,5,3,2026-03-07,6,FT,TB,M,9
9,Event Detail,B Curtis,W Walden,118,6,1,Allowance,140000,Turf,8.5,F,4.5,H,12,3,3,0,2026-02-27,7,FM,TB,M,5
9,Smokey Mandate,J J Hernandez,M J Maker,118,6,2,Allowance,140000,Turf,8.5,F,10,G,19,3,4,3,2026-03-11,7,FM,TB,M,6
9,Common Defense,J L Ortiz,K G McPeek,118,5,3,Allowance,140000,Turf,8.5,F,3,H,12,3,6,1,2025-12-06,2,FM,TB,M,7
9,Flying Mohawk,T Gaffalione,D Beckman,118,4,4,Allowance,140000,Turf,8.5,F,15,C,11,3,2,0,2026-02-21,6,FM,TB,M,8
9,Anglophile,J Castellano,B A Lynch,118,6,5,Allowance,140000,Turf,8.5,F,4,H,25,3,2,6,2025-10-10,5,FM,TB,M,9
9,Innately Good,J C Ferrer,N G Goodwin,118,4,6,Allowance,140000,Turf,8.5,F,30,C,18,3,0,2,2026-02-22,7,FM,TB,M,9
9,Tiztastic,L Saez,S M Asmussen,118,4,7,Allowance,140000,Turf,8.5,F,8,C,12,3,1,2,2025-08-30,10,FM,TB,M,10
9,Noises Off,W A Rodriguez,P H Lobo,118,6,8,Allowance,140000,Turf,8.5,F,12,G,20,3,8,2,2025-11-09,3,FM,TB,M,7
9,Tonka Warrior,"I Ortiz, Jr.",M Robertson,118,7,9,Allowance,140000,Turf,8.5,F,10,G,33,7,8,6,2026-03-28,6,FM,TB,M,9
9,Sand Pipes,S Marin,L Schultz,118,5,10,Allowance,140000,Turf,8.5,F,5,H,18,3,2,3,2026-02-14,5,FM,TB,M,10
