race_number,horse_name,jockey,trainer,weight,age,post_position,race_type,purse,surface,distance,distance_unit,dollar_odds,sex,num_past_starts,num_past_wins,num_past_seconds,num_past_thirds,last_race_date,last_race_finish,track_condition,breed,course,last_race_number
1,Emirates Affair,"I Ortiz, Jr.","R B Hess, Jr.",118,8,1,Claiming,51000,Dirt,6.0,F,0.6,M,56,12,14,7,2026-01-24,2,FT,TB,M,6
1,Ask Amanda,W A Rodriguez,J Antonuik,118,5,2,Claiming,51000,Dirt,6.0,F,20,M,14,3,1,2,2026-03-19,3,FT,TB,M,6
1,Devil of Paradis,C Roman,M Evans II,118,5,3,Claiming,51000,Dirt,6.0,F,4.5,M,12,4,1,0,2026-03-07,4,FT,TB,M,3
1,Sunset Harbour,M Gutierrez,C A David,118,4,4,Claiming,51000,Dirt,6.0,F,8,F,9,3,1,1,2026-03-25,8,FT,TB,M,6
1,So Far So Good,W Antongeorgi III,A Decker,118,5,5,Claiming,51000,Dirt,6.0,F,12,M,21,4,3,5,2026-03-12,2,FT,TB,M,2
1,Coastline Hottie,L Machado,C W Axmaker,118,6,6,Claiming,51000,Dirt,6.0,F,4,M,21,3,1,7,2026-03-07,3,FT,TB,M,3
1,Scoop,A Calleja,M Salas,118,5,7,Claiming,51000,Dirt,6.0,F,30,M,30,3,5,3,2026-03-18,6,FT,TB,M,4
2,Ruiva,"I Ortiz, Jr.",W A Ward,116,2,1,Maiden Special Weight,90000,Dirt,4.5,F,1.6,F,0,0,0,0,,,FT,TB,M,
2,Arctic Wolf,T Gaffalione,P Antonacci,119,2,2,Maiden Special Weight,90000,Dirt,4.5,F,4.5,C,0,0,0,0,,,FT,TB,M,
2,Perfect Mo,F De La Cruz,E N Foster,119,2,3,Maiden Special Weight,90000,Dirt,4.5,F,15,C,0,0,0,0,,,FT,TB,M,
2,Super Saiyajin,G Corrales,S Donjuan,119,2,4,Maiden Special Weight,90000,Dirt,4.5,F,20,C,1,0,0,0,2026-04-03,4,FT,TB,M,1
2,Grandes Suenos,L Saez,R Hernandez,119,2,5,Maiden Special Weight,90000,Dirt,4.5,F,10,C,0,0,0,0,,,FT,TB,M,
2,Blessed Flyer,S Gonzalez,M Douaihy,119,2,6,Maiden Special Weight,90000,Dirt,4.5,F,20,C,0,0,0,0,,,FT,TB,M,
2,Sing for Mo Money,A Achard,J Ennis,119,2,7,Maiden Special Weight,90000,Dirt,4.5,F,12,C,0,0,0,0,,,FT,TB,M,
2,Paper Run,W A Rodriguez,W A Ward,116,2,8,Maiden Special Weight,90000,Dirt,4.5,F,8,F,0,0,0,0,,,FT,TB,M,
2,Mr Gerson,A Calleja,I Acevedo,119,2,9,Maiden Special Weight,90000,Dirt,4.5,F,20,C,0,0,0,0,,,FT,TB,M,
2,Trim Castle,E Morales,J Ennis,119,2,10,Maiden Special Weight,90000,Dirt,4.5,F,15,C,0,0,0,0,,,FT,TB,M,
