race_number,horse_name,jockey,trainer,weight,age,post_position,race_type,purse,surface,distance,distance_unit,dollar_odds,sex,num_past_starts,num_past_wins,num_past_seconds,num_past_thirds,last_race_date,last_race_finish,track_condition,breed,course,last_race_number
5,Ceniza Pampa,J R Velazquez,H De Paz,118,5,5,Allowance,130000,Turf,8.5,F,20,M,20,4,3,4,2025-09-06,5,FM,TB,M,8
5,Wind Flower,J Alvarado,W I Mott,120,4,6,Allowance,130000,Turf,8.5,F,8,F,6,2,0,0,2026-02-21,1,FM,TB,M,6
5,In the Stars,L Saez,G R Arnold II,118,4,7,Allowance,130000,Turf,8.5,F,5,F,8,2,1,1,2025-11-28,7,FM,TB,M,10
5,Bracelet,F Prat,B H Cox,118,4,8,Allowance,130000,Turf,8.5,F,4.5,F,8,2,1,1,2026-03-08,3,FM,TB,M,7
5,Daisy Flyer,A Concepcion,G R Arnold II,118,4,9,Allowance,130000,Turf,8.5,F,6,F,7,2,0,1,2025-10-11,6,FM,TB,M,9
5,Onemoredance,T Gaffalione,B P Walsh,118,4,10,Allowance,130000,Turf,8.5,F,6,F,13,5,1,1,2025-10-12,1,FM,TB,M,N/A
5,Caviar Breakfast,"B J Hernandez, Jr.",K G McPeek,118,4,11,Allowance,130000,Turf,8.5,F,12,F,10,2,1,3,2025-12-27,5,FM,TB,M,9
5,Lady Ilze,J L Ortiz,M E Casse,118,4,12,Allowance,130000,Turf,8.5,F,8,F,11,5,0,2,2025-08-30,7,FM,TB,M,11
5,Strong Destiny,F De La Cruz,M P Sims,118,4,13,Allowance,130000,Turf,8.5,F,6,F,7,2,1,1,2026-03-06,1,FM,TB,M,3
5,Exclusive Star,B Curtis,E Kenneally,120,4,14,Allowance,130000,Turf,8.5,F,8,F,9,2,2,2,2026-02-17,1,FM,TB,M,6
5,Classy'n Connected,J R Leparoux,"T Drury, Jr.",118,5,15,Allowance,130000,Turf,8.5,F,15,M,20,3,4,2,2026-02-12,5,FM,TB,M,8
5,Mahra's Love,G Corrales,M Nihei,118,4,16,Allowance,130000,Turf,8.5,F,20,F,9,3,1,2,2026-02-12,6,FM,TB,M,8
6,Torre Eiffel,L Machado,J L Aranha,125,4,1,Maiden Special Weight,110000,Dirt,6.0,F,6,G,3,0,0,1,2025-12-18,7,FT,TB,M,5
6,Great Moment,T Gaffalione,G D Foley,125,4,2,Maiden Special Weight,110000,Dirt,6.0,F,3.5,C,6,0,1,1,2026-02-21,2,FT,TB,M,7
6,Puteketeke,F Prat,M J Maker,125,4,3,Maiden Special Weight,110000,Dirt,6.0,F,2,G,2,0,0,2,2026-03-13,3,FT,TB,M,9
6,Mizzou,J R Velazquez,G Weaver,125,4,4,Maiden Special Weight,110000,Dirt,6.0,F,2.5,C,6,0,2,1,2026-03-01,2,FT,TB,M,4
6,Perrylu,L Saez,V H Oliver,120,4,5,Maiden Special Weight,110000,Dirt,6.0,F,15,F,1,0,0,0,2025-06-28,7,FT,TB,M,6
6,Culper Code,"B J Hernandez, Jr.",K G McPeek,118,3,6,Maiden Special Weight,110000,Dirt,6.0,F,8,C,0,0,0,0,,,FT,TB,M,
6,Ring Curl,W Antongeorgi III,T S Wismer,118,3,7,Maiden Special Weight,110000,Dirt,6.0,F,30,C,4,0,0,0,2026-01-02,9,FT,TB,M,7
6,Awesome Beat,J L Ortiz,D Jacobson,125,4,8,Maiden Special Weight,110000,Dirt,6.0,F,12,G,6,0,2,3,2025-12-13,3,FT,TB,M,2
7,Sapphire Beach,J L Ortiz,G R Arnold II,118,3,1,Stakes,350000,Turf,5.5,F,10,F,5,2,1,0,2026-02-28,5,FM,TB,M,6
7,Pure Eloquence,T Gaffalione,J Sisterson,118,3,2,Stakes,350000,Turf,5.5,F,20,F,4,2,0,0,2026-03-12,1,FM,TB,M,8
7,Map of the Moon,A Concepcion,K Danner,120,3,3,Stakes,350000,Turf,5.5,F,15,F,4,3,0,0,2026-02-20,5,FM,TB,M,9
7,Quiet Street,J Alvarado,W I Mott,120,3,4,Stakes,350000,Turf,5.5,F,10,F,3,2,0,1,2025-10-04,3,FM,TB,M,8
7,Light Won Up,A Fresu,D F O'Neill,120,3,5,Stakes,350000,Turf,5.5,F,8,F,3,2,0,0,2026-02-07,1,FM,TB,M,9
7,Debbie Doll,J Castellano,R Medina,118,3,6,Stakes,350000,Turf,5.5,F,30,F,4,2,1,0,2026-03-14,1,FM,TB,M,6
7,Candy Talking,J Graham,M Robertson,118,3,7,Stakes,350000,Turf,5.5,F,20,F,5,2,2,0,2026-03-13,1,FM,TB,M,8
7,Lennilu,L Saez,P L Biancone,120,3,8,Stakes,350000,Turf,5.5,F,4.5,F,7,5,0,1,2026-03-22,1,FM,TB,M,8
7,Cy Fair,"I Ortiz, Jr.",G Weaver,123,3,9,Stakes,350000,Turf,5.5,F,1.8,F,4,3,1,0,2025-10-31,1,FM,TB,M,6
7,Snow Face Princess,F Prat,S M Asmussen,120,3,10,Stakes,350000,Turf,5.5,F,6,F,4,2,1,0,2025-09-07,2,FM,TB,M,10
7,Slay the Day,J R Velazquez,B A Lynch,118,3,11,Stakes,350000,Turf,5.5,F,15,F,4,2,1,0,2026-03-06,1,FM,TB,M,7
7,Should've,J Rosario,W A Ward,118,3,12,Stakes,350000,Turf,5.5,F,20,F,3,1,0,1,2025-11-07,8,FM,TB,M,9
7,Midnight Martini,J Castellano,M E Casse,118,3,13,Stakes,350000,Turf,5.5,F,20,F,2,1,1,0,2026-03-05,2,FM,TB,M,8
7,Will Happen,J R Velazquez,R Baltas,118,3,14,Stakes,350000,Turf,5.5,F,30,F,4,1,1,1,2026-04-04,2,FM,TB,M,1
8,Ginger Zip,J L Ortiz,D Jacobson,118,4,1,Allowance,120000,Dirt,6.0,F,20,F,6,1,3,0,2026-02-27,4,FT,TB,M,7
8,Tetiaroa,"I Ortiz, Jr.",P A Bauer,118,4,2,Allowance,120000,Dirt,6.0,F,10,F,5,1,0,0,2025-11-22,10,FT,TB,M,5
8,Keyana,J Rosario,D Leitch,118,4,3,Allowance,120000,Dirt,6.0,F,15,F,8,2,0,1,2026-03-11,10,FT,TB,M,9
8,Cut to the Chase,J R Velazquez,W A Ward,118,4,4,Allowance,120000,Dirt,6.0,F,2.5,F,3,1,0,0,2025-12-03,6,FT,TB,M,8
8,Chatter,T Gaffalione,"S A Joseph, Jr.",118,4,5,Allowance,120000,Dirt,6.0,F,3.5,F,8,1,3,1,2026-02-19,2,FT,TB,M,9
8,She's a Gemma,L Saez,W I Mott,120,4,6,Allowance,120000,Dirt,6.0,F,1.8,F,4,1,1,0,2026-03-06,1,FT,TB,M,8
8,Going Steady,F Prat,R Medina,118,4,7,Allowance,120000,Dirt,6.0,F,10,F,10,1,4,0,2025-12-28,8,FT,TB,M,8
8,Autumn Rhythm,B Curtis,E Kenneally,118,4,8,Allowance,120000,Dirt,6.0,F,8,F,9,2,1,1,2026-02-28,3,FT,TB,M,5
9,Rhetorical,"I Ortiz, Jr.",W Walden,123,5,1,Stakes,650000,Turf,8.0,F,3.5,G,7,5,0,1,2025-11-01,4,FM,TB,M,10
9,One Stripe,J R Velazquez,H G Motion,123,5,2,Stakes,650000,Turf,8.0,F,8,H,13,7,2,0,2026-01-24,2,FM,TB,M,12
9,Troubleshooting,T Gaffalione,G D Foley,123,4,3,Stakes,650000,Turf,8.0,F,30,C,11,4,3,0,2025-11-22,9,FM,TB,M,10
9,Notable Speech,W Buick,C Appleby,123,5,4,Stakes,650000,Turf,8.0,F,1.8,H,14,7,1,1,2025-11-01,1,FM,TB,M,10
9,Aomori City,R Mullen,C Appleby,123,4,5,Stakes,650000,Turf,8.0,F,20,C,9,2,1,3,2026-02-07,12,FM,TB,M,7
9,Zulu Kingdom,F Prat,C C Brown,123,4,6,Stakes,650000,Turf,8.0,F,12,R,8,6,0,0,2025-08-01,4,FM,TB,M,7
9,Tenacious Leader,L Saez,T A Pletcher,123,4,7,Stakes,650000,Turf,8.0,F,30,C,7,2,2,0,2026-02-28,5,FM,TB,M,8
9,Bear River,J Graham,J K Desormeaux,123,5,8,Stakes,650000,Turf,8.0,F,30,R,27,7,0,5,2026-04-04,9,FM,TB,M,10
9,Wolfie's Dynaghost,J L Ortiz,B A Lynch,123,8,9,Stakes,650000,Turf,8.0,F,8,G,33,14,3,5,2026-02-28,5,FM,TB,M,4
9,Deterministic,K Carmouche,M Clement,123,5,10,Stakes,650000,Turf,8.0,F,5,H,13,7,3,1,2025-08-02,1,FM,TB,M,8
9,Tiz Dashing,J Castellano,B Tagg,123,4,11,Stakes,650000,Turf,8.0,F,20,C,11,3,2,3,2026-02-28,1,FM,TB,M,4
9,Brilliant Berti,"B J Hernandez, Jr.",C DeVaux,123,5,12,Stakes,650000,Turf,8.0,F,20,H,14,7,2,1,2026-02-14,4,FM,TB,M,10
9,Pitkin,E J Zayas,I R Wilkes,123,4,13,Stakes,650000,Turf,8.0,F,30,C,6,2,2,0,2026-02-28,1,FM,TB,M,1
10,Mr American Pie,A Fresu,D F O'Neill,118,3,1,Maiden Claiming,55000,Dirt,6.5,F,15,G,1,0,0,1,2026-03-13,3,FT,TB,M,2
10,Chappelle,J Alvarado,D Beckman,125,4,2,Maiden Claiming,55000,Dirt,6.5,F,2.5,G,2,0,1,1,2026-01-24,3,FT,TB,M,5
10,Free Advice,D Machado,T Humphries,125,4,3,Maiden Claiming,55000,Dirt,6.5,F,8,G,10,0,2,0,2026-03-12,2,FT,TB,M,9
10,Hill Country,J Graham,J K Desormeaux,118,3,4,Maiden Claiming,55000,Dirt,6.5,F,20,C,0,0,0,0,,,FT,TB,M,
10,Swaging,J L Ortiz,W M Catalano,125,5,5,Maiden Claiming,55000,Dirt,6.5,F,3.5,G,4,0,2,0,2026-02-21,5,FT,TB,M,7
10,Don's Last Ride,T Gaffalione,J Sharp,118,3,6,Maiden Claiming,55000,Dirt,6.5,F,15,C,1,0,0,0,2026-02-21,8,FT,TB,M,5
10,I'm Trouble,J R Velazquez,W A Ward,125,4,7,Maiden Claiming,55000,Dirt,6.5,F,4.5,G,3,0,1,0,2026-01-02,10,FT,TB,M,5
10,Sparked,D Sheehy,A McKeever,118,3,8,Maiden Claiming,55000,Dirt,6.5,F,20,C,0,0,0,0,,,FT,TB,M,
10,Barker,L Saez,C Davis,125,4,9,Maiden Claiming,55000,Dirt,6.5,F,6,G,6,0,0,1,2026-03-08,5,FT,TB,M,1
10,Hewson,M Garcia,B G Hughes,118,3,10,Maiden Claiming,55000,Dirt,6.5,F,20,C,2,0,0,0,2026-02-18,8,FT,TB,M,8
10,Chasing Gray,J A Torres,G T Forster,118,3,11,Maiden Claiming,55000,Dirt,6.5,F,30,G,4,0,0,0,2026-02-17,7,FT,TB,M,5
10,Good Sal,W Antongeorgi III,T S Wismer,118,3,12,Maiden Claiming,55000,Dirt,6.5,F,30,G,0,0,0,0,,,FT,TB,M,
10,Blazy,A Calleja,R Thompson,118,3,13,Maiden Claiming,55000,Dirt,6.5,F,30,C,0,0,0,0,,,FT,TB,M,
