race_number,horse_name,jockey,trainer,weight,age,post_position,race_type,purse,surface,distance,distance_unit,dollar_odds,sex,num_past_starts,num_past_wins,num_past_seconds,num_past_thirds,last_race_date,last_race_finish,track_condition,breed,course,last_race_number
1,King of Kentucky,L Machado,C L Brownfield III,118,6,1,Claiming,63000,Dirt,7.0,F,15,G,38,8,6,3,2026-03-20,4,FT,TB,M,1
1,Track Ranger,T Gaffalione,D Jacobson,118,4,2,Claiming,63000,Dirt,7.0,F,4.5,G,13,3,1,1,2026-01-02,6,FT,TB,M,6
1,Tagliatelle,G Saez,E N Foster,118,5,3,Claiming,63000,Dirt,7.0,F,6,G,21,4,3,5,2026-03-21,3,FT,TB,M,2
1,Midnight Pranks,A Beschizza,R Diodoro,118,6,4,Claiming,63000,Dirt,7.0,F,10,G,27,4,2,5,2026-03-07,3,FT,TB,M,4
1,Chado,C A Emigh,B A Vanden Berg,120,4,5,Claiming,63000,Dirt,7.0,F,8,C,14,3,2,3,2026-03-05,7,FT,TB,M,6
1,Bebedouro,F Prat,R Diodoro,118,5,6,Claiming,63000,Dirt,7.0,F,3.5,G,21,3,1,3,2026-02-19,3,FT,TB,M,4
1,Curahee,J L Ortiz,J Sharp,118,4,7,Claiming,63000,Dirt,7.0,F,1.2,G,14,3,4,1,2026-03-08,2,FT,TB,M,6
2,Nash Potatoes,D Sheehy,T Newton,125,4,1,Maiden Claiming,48000,Dirt,7.0,F,8,G,11,0,0,0,2026-02-28,5,FT,TB,M,5
2,Props,J Graham,J K Desormeaux,118,3,2,Maiden Claiming,48000,Dirt,7.0,F,6,G,9,0,2,1,2026-02-17,5,FT,TB,M,5
2,El Oso,A Gomez,T Rivera,125,4,3,Maiden Claiming,48000,Dirt,7.0,F,30,G,7,0,1,0,2026-03-20,7,FT,TB,M,6
2,King of Salsa,G Corrales,M Nihei,118,3,4,Maiden Claiming,48000,Dirt,7.0,F,15,C,3,0,0,1,2026-02-27,6,FT,TB,M,7
2,Twenty Two Black,"B J Hernandez, Jr.",K G McPeek,118,3,5,Maiden Claiming,48000,Dirt,7.0,F,2,C,5,0,0,1,2026-03-06,6,FT,TB,M,4
2,Market Watch,F Prat,M J Maker,125,4,6,Maiden Claiming,48000,Dirt,7.0,F,8,G,4,0,0,1,2026-02-28,12,FT,TB,M,5
2,Field Study,A Concepcion,D Jacobson,118,3,7,Maiden Claiming,48000,Dirt,7.0,F,20,G,2,0,0,0,2026-03-05,10,FT,TB,M,4
2,Lennie G,C J Lanerie,D L Romans,118,3,8,Maiden Claiming,48000,Dirt,7.0,F,12,C,4,0,0,0,2026-03-22,5,FT,TB,M,3
2,The Reinbow Factor,G Saez,M R Thompson,125,4,9,Maiden Claiming,48000,Dirt,7.0,F,30,G,5,0,0,0,2026-03-12,8,FT,TB,M,9
2,Mandy's Man Can,W A Rodriguez,P H Lobo,125,4,10,Maiden Claiming,48000,Dirt,7.0,F,10,G,4,0,1,0,2026-01-17,8,FT,TB,M,9
2,Silver Dime,L Saez,C Anderson,118,3,11,Maiden Claiming,48000,Dirt,7.0,F,30,C,0,0,0,0,,,FT,TB,M,
2,He's All Heart,J J Hernandez,M J Maker,125,4,12,Maiden Claiming,48000,Dirt,7.0,F,4.5,G,2,0,0,0,2026-03-12,6,FT,TB,M,9
2,September Silver,A Concepcion,D Stewart,118,3,13,Maiden Claiming,48000,Dirt,7.0,F,15,G,7,0,0,1,2026-03-06,3,FT,TB,M,7
2,Southern Soul,S Pauly,I Bahena,1135,3,14,Maiden Claiming,48000,Dirt,7.0,F,20,G,5,0,0,1,2026-03-19,4,FT,TB,M,1
2,Frosted Mug,E J Zayas,I R Wilkes,118,3,15,Maiden Claiming,48000,Dirt,7.0,F,12,G,4,0,1,0,2026-03-13,2,FT,TB,M,7
2,Beale Street Boy,L Machado,B Colebrook,118,3,16,Maiden Claiming,48000,Dirt,7.0,F,10,G,6,0,0,1,2026-03-14,6,FT,TB,M,4
3,Touch of Fire,"I Ortiz, Jr.",B H Cox,118,3,1,Allowance,120000,Turf,8.5,F,1.8,C,2,1,1,0,2026-02-28,2,FM,TB,M,8
3,Zeus's Echo,J R Velazquez,C Davis,118,3,2,Allowance,120000,Turf,8.5,F,20,C,7,1,2,0,2026-03-05,5,FM,TB,M,5
3,Third Coast,S Marin,T F Proctor,120,3,3,Allowance,120000,Turf,8.5,F,15,G,1,1,0,0,2026-02-15,1,FM,TB,M,5
3,Time for Money,E Morales,J Ennis,118,3,4,Allowance,120000,Turf,8.5,F,30,G,6,1,0,0,2026-02-21,10,FM,TB,M,9
3,Tacticality,F Prat,C C Brown,118,3,5,Allowance,120000,Turf,8.5,F,4.5,C,4,1,0,1,2026-03-12,3,FM,TB,M,8
3,Hayes Goal,D Sheehy,J Ennis,118,3,6,Allowance,120000,Turf,8.5,F,30,C,3,1,0,0,2026-02-27,1,FM,TB,M,7
3,Mendels Mate,T Gaffalione,J Sharp,118,3,7,Allowance,120000,Turf,8.5,F,15,C,4,1,1,0,2026-03-05,2,FM,TB,M,9
3,Mischief Ride,M Gutierrez,B C Barnett,120,3,8,Allowance,120000,Turf,8.5,F,12,C,4,1,1,0,2026-03-06,1,FM,TB,M,4
3,J J Grey,"B J Hernandez, Jr.",K G McPeek,118,3,9,Allowance,120000,Turf,8.5,F,6,C,6,2,0,0,2026-03-21,6,FM,TB,M,8
3,Khetam,J Graham,A McKeever,118,3,10,Allowance,120000,Turf,8.5,F,20,G,5,1,0,0,2026-03-05,4,FM,TB,M,9
3,Chambersville,J L Ortiz,K G McPeek,118,3,11,Allowance,120000,Turf,8.5,F,10,C,5,1,1,1,2026-02-07,3,FM,TB,M,7
3,Doctrine,L Saez,B H Cox,118,3,12,Allowance,120000,Turf,8.5,F,6,C,2,1,1,0,2026-02-12,2,FM,TB,M,7
3,Knoty Knicks,C J Lanerie,J Engler,118,3,13,Allowance,120000,Turf,8.5,F,5,C,8,1,2,1,2026-03-07,3,FM,TB,M,7
3,McCready,J R Leparoux,M Robertson,118,3,14,Allowance,120000,Turf,8.5,F,12,C,3,1,0,2,2026-02-28,3,FM,TB,M,8
3,Gairloch,B Curtis,B P Walsh,118,3,15,Allowance,120000,Turf,8.5,F,6,G,2,1,0,0,2026-01-11,5,FM,TB,M,10
3,Patrol Squad Six,J Alvarado,D L Romans,118,3,16,Allowance,120000,Turf,8.5,F,4,C,6,1,2,1,2026-03-12,2,FM,TB,M,8
4,Hot Property,"I Ortiz, Jr.",B H Cox,125,4,1,Claiming,58000,Dirt,8.5,F,3.5,C,5,1,0,1,2026-03-12,5,FT,TB,M,8
4,Profound,F Prat,W Walden,125,4,2,Claiming,58000,Dirt,8.5,F,3,C,6,1,0,0,2026-03-07,8,FT,TB,M,12
4,Arthur Jr,J L Ortiz,K LaRose,125,4,3,Claiming,58000,Dirt,8.5,F,6,G,13,1,5,1,2026-03-19,6,FT,TB,M,1
4,Maximum Promise,"B J Hernandez, Jr.",K G McPeek,125,4,4,Claiming,58000,Dirt,8.5,F,1.6,C,11,1,1,2,2026-03-19,5,FT,TB,M,6
4,Sound Cause,T Gaffalione,S M Asmussen,125,4,5,Claiming,58000,Dirt,8.5,F,12,C,13,1,4,1,2026-02-26,8,FT,TB,M,9
4,Aguila Negra,J N Hernandez,J C Perez,120,3,6,Claiming,58000,Dirt,8.5,F,8,G,7,1,0,1,2026-03-13,1,FT,TB,M,6
4,Hard Spun to Run,A Concepcion,W B Calhoun,125,4,7,Claiming,58000,Dirt,8.5,F,15,G,8,1,3,1,2026-03-20,2,FT,TB,M,6
4,Dewy's Denali,W Antongeorgi III,R E Gonzalez,118,3,8,Claiming,58000,Dirt,8.5,F,30,G,5,1,0,0,2026-03-27,5,FT,TB,M,6
5,Goats On a Tree,J J Hernandez,M J Maker,118,5,1,Allowance,130000,Turf,8.5,F,12,M,19,6,1,7,2026-03-14,3,FM,TB,M,7
5,Vina Arana,A Beschizza,J Sisterson,118,5,2,Allowance,130000,Turf,8.5,F,20,M,8,2,0,2,2025-12-21,7,FM,TB,M,6
5,Somethinabouther,"I Ortiz, Jr.",B P Walsh,118,4,3,Allowance,130000,Turf,8.5,F,6,F,13,2,2,5,2025-11-28,10,FM,TB,M,10
5,Deloraine,W A Rodriguez,E G Harty,118,4,4,Allowance,130000,Turf,8.5,F,30,F,9,2,0,4,2025-08-03,6,FM,TB,M,9
